ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10263521,HY450412,10-05-2015 10:41,116XX S HALE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,FALSE,TRUE,2212,22,19,75,26,1164720,1827413,2015,10-12-2015 15:56,41.68202273,-87.67266422,"(41.682022731, -87.672664218)"
10262616,HY450220,10-05-2015 10:40,014XX W 79TH ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,TRUE,FALSE,612,6,21,71,26,1168011,1852358,2015,10-12-2015 15:56,41.75040578,-87.65990301,"(41.750405784, -87.659903013)"
10262420,HY450191,10-05-2015 10:40,012XX S KEELER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1011,10,24,29,08B,1148578,1894086,2015,10-12-2015 15:56,41.86530892,-87.73004187,"(41.865308919, -87.730041871)"
10262584,HY450312,10-05-2015 10:38,002XX W GARFIELD BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA STATION,TRUE,FALSE,935,9,3,37,18,1175647,1868500,2015,10-12-2015 15:56,41.79453381,-87.63143854,"(41.794533814, -87.631438536)"
10262522,HY450180,10-05-2015 10:33,046XX N WINTHROP AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VACANT LOT/LAND,TRUE,FALSE,1914,19,46,3,18,1168133,1931076,2015,10-12-2015 15:56,41.96641208,-87.65718431,"(41.966412077, -87.657184306)"
10262261,HY450125,10-05-2015 10:31,057XX S AUSTIN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,FALSE,FALSE,811,8,23,56,11,1137360,1865935,2015,10-12-2015 15:56,41.78826704,-87.77189948,"(41.78826704, -87.771899479)"
10263094,HY450410,10-05-2015 10:30,081XX S COMMERCIAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,422,4,7,46,14,1197604,1851625,2015,10-12-2015 15:56,41.74770761,-87.55148679,"(41.747707609, -87.551486786)"
10262534,HY450246,10-05-2015 10:30,012XX S SAWYER AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1022,10,24,29,08A,1154892,1894216,2015,10-12-2015 15:56,41.86554156,-87.70685934,"(41.865541555, -87.70685934)"
10263422,HY451292,10-05-2015 10:30,043XX S WOOD ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,924,9,12,61,08B,1165073,1875977,2015,10-12-2015 15:56,41.81528195,-87.67000153,"(41.81528195, -87.670001531)"
10262389,HY450140,10-05-2015 10:30,027XX W WASHINGTON BLVD,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1222,12,2,27,08B,1158144,1900571,2015,10-12-2015 15:56,41.88291456,-87.69474749,"(41.882914555, -87.694747489)"
10262761,HY450567,10-05-2015 10:30,059XX S LA SALLE ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,232,2,20,68,08A,1176318,1865609,2015,10-12-2015 15:56,41.78658556,-87.62906485,"(41.786585558, -87.629064854)"
10262378,HY450155,10-05-2015 10:25,010XX W SUNNYSIDE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1914,19,46,3,18,1168642,1930055,2015,10-12-2015 15:56,41.96359938,-87.65534251,"(41.963599382, -87.655342514)"
10262409,HY450192,10-05-2015 10:24,014XX N TRIPP AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"SCHOOL, PUBLIC, GROUNDS",TRUE,FALSE,2534,25,37,23,24,1147789,1909188,2015,10-12-2015 15:56,41.90676568,-87.73255021,"(41.906765676, -87.732550205)"
10262401,HY450134,10-05-2015 10:15,054XX S BLACKSTONE AVE,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,VEHICLE NON-COMMERCIAL,FALSE,FALSE,234,2,5,41,3,1186842,1869242,2015,10-12-2015 15:56,41.79631176,-87.59036374,"(41.79631176, -87.590363735)"
10262282,HY450118,10-05-2015 10:15,056XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1513,15,29,25,18,1138946,1899461,2015,10-12-2015 15:56,41.88023894,-87.76527117,"(41.880238942, -87.76527117)"
10262410,HY450115,10-05-2015 10:15,076XX S ADA ST,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,612,6,17,71,08A,1168770,1853903,2015,10-12-2015 15:56,41.75462914,-87.65707719,"(41.754629138, -87.657077186)"
10262796,HY450437,10-05-2015 10:15,0000X S WABASH AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,TRUE,FALSE,112,1,42,32,26,1176813,1900286,2015,10-12-2015 15:56,41.88173084,-87.62620329,"(41.881730836, -87.626203285)"
10262336,HY450121,10-05-2015 10:04,012XX S KEELER AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,1011,10,24,29,18,1148577,1894140,2015,10-12-2015 15:56,41.86545712,-87.73004415,"(41.865457121, -87.730044149)"
10262549,HY450325,10-05-2015 10:00,052XX W CUYLER AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,1624,16,38,15,26,1140665,1926425,2015,10-12-2015 15:56,41.95419972,-87.75829523,"(41.95419972, -87.758295234)"
10263897,HY451628,10-05-2015 10:00,009XX N LATROBE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1524,15,37,25,11,1141187,1905726,2015,10-12-2015 15:56,41.89738987,-87.75688781,"(41.897389871, -87.75688781)"
10265720,HY453077,10-05-2015 10:00,009XX N RIDGEWAY AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1112,11,27,23,6,1151215,1905931,2015,10-12-2015 15:56,41.89776162,-87.72005054,"(41.897761615, -87.720050542)"
